sr_no,date_dd_mm_yyyy,startup_name,industry_vertical,sub_vertical,city_location,investors_name,investment_type,amount_in_usd,remarks,year,funding_tier
360,08/02/2018,Icertis,Consumer Internet,Enterprise Contract Management Platform,Pune,Meritech Capital Partners,Private Equity,50000000,No Remarks,2018,Late Stage Mega Round
361,09/02/2018,Healthifyme,Healthcare,Mobile Weight Loss Coach,Bengaluru,Sistema Asia Fund,Private Equity,12000000,No Remarks,2018,Growth Capital
362,09/02/2018,Medtel,Healthcare,Virtual Health Clinics,Bhubaneswar,British And Indian Governments,Private Equity,0,No Remarks,2018,Undisclosed
363,09/02/2018,Rupeek,Consumer Internet,Online Gold Loan,Bengaluru,"Accel Partners, Sequoia Capital",Private Equity,6830000,No Remarks,2018,Growth Capital
364,09/02/2018,Webengage,Technology,Marketing Cloud For Consumer Businesses,Mumbai,Social Capital,Private Equity,0,No Remarks,2018,Undisclosed
365,12/02/2018,Lendingkart,Finance,Online Lending Platform,Bengaluru,Fullerton Financial Holdings Pte Ltd & Others,Private Equity,87000000,No Remarks,2018,Late Stage Mega Round
366,12/02/2018,Wydr,Consumer Internet,B2B Marketplace,Gurugram,"Bessemer Venture Partners, Stellaris Venture Partners, Axis Capital, Singapore, Jungle Venture Partners",Private Equity,0,No Remarks,2018,Undisclosed
367,12/02/2018,Cashify,E-Commerce,Online Selling,Gurugram,Trifecta Capital,Debt Funding,935089,No Remarks,2018,Seed & Early Stage
368,13/02/2018,Holachef,Food And Beverages,Online Food Delivery,Mumbai,Ashok Kumar Gajera,Seed / Angle Funding,311200,No Remarks,2018,Seed & Early Stage
369,13/02/2018,Awaaz De,Technology,Mobile Solutions For Social Impact,Ahmedabad,Tribe Impact Capital Llp,Seed / Angle Funding,0,No Remarks,2018,Undisclosed
370,13/02/2018,Imax Program,Ed-Tech,Individualised Progressive Learning Program,Bengaluru,"Michael & Susan Dell Foundation, Lgt Impact Ventures",Private Equity,13500000,No Remarks,2018,Growth Capital
371,14/02/2018,Littlemore,Ed-Tech,Online Education Platform,Chennai,Kalpavriksh,Private Equity,3000000,No Remarks,2018,Growth Capital
372,14/02/2018,Toppr,Ed-Tech,Online Education Platform,Mumbai,Axis Capital Partners,Private Equity,100000,No Remarks,2018,Seed & Early Stage
373,14/02/2018,Shirsa Labs,Ed-Tech,Integrated Kids Engagement Company,Mumbai,"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal",Private Equity,500000,No Remarks,2018,Seed & Early Stage
374,14/02/2018,Moneyonmobile,Technology,Mobile Payment Platform,Mumbai,S7 Group,Private Equity,5000000,No Remarks,2018,Growth Capital
375,15/02/2018,Petsutra,Consumer Internet,Online Pet Care Products,Gurugram,Michael Patrick Hickey,Seed / Angel Funding,148434,No Remarks,2018,Seed & Early Stage
376,15/02/2018,Infibeam,E-Commerce,Online Retailing,Ahemadabad,Network 18,Private Equity,6230000,No Remarks,2018,Growth Capital
377,16/02/2018,Happay,Finance,Expense Management,Bengaluru,Sequoia And Jerry Yang,Seed / Angel Funding,250000,No Remarks,2018,Seed & Early Stage
378,16/02/2018,Fincash,Finance,Fin-Tech,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed / Angel Funding,150000,No Remarks,2018,Seed & Early Stage
379,19/02/2018,Ayefinance,Finance,Online Lending,Gurugram,"Hinduja Leyland Finance, Intellegrow",Private Equity,3800000,No Remarks,2018,Growth Capital
380,20/02/2018,Agricxlab,Agriculture,Agri-Tech,Mumbai,Ankur Capital,Seed / Angel Funding,500000,No Remarks,2018,Seed & Early Stage
381,21/02/2018,Udaan,E-Commerce,B2B Marketplace,Bengaluru,Lightspeed & Yuri Milner,Private Equity,50000000,No Remarks,2018,Late Stage Mega Round
382,21/02/2018,Capillary,It,Saas,Bengaluru,"Wargburg Pincus, Sequoia",Private Equity,20000000,No Remarks,2018,Growth Capital
383,21/02/2018,The Healthy Billions,Healthcare,Analytics,Gurugram,"Blume Ventures, Healthquad And Fireside Ventures",Private Equity,2100000,No Remarks,2018,Growth Capital
384,21/02/2018,Highradius,Technology,Cloud-Based Software,Hyderabad,"Pnc, Citi Ventures",Private Equity,0,No Remarks,2018,Undisclosed
385,26/02/2018,Avishkaar Box,Ed-Tech,Education,Delhi,Auxano Deals,Private Equity,772500,No Remarks,2018,Seed & Early Stage
386,26/02/2018,Planys Technologies,Technology,Robotic Inspectionstartup,Chennai,"Kris Gopalakrishnan, Pratithi Investment Trust, Memg Family Office, S Gopal",Private Equity,1040000,No Remarks,2018,Seed & Early Stage
387,27/02/2018,Lollypop,Technology,Digital Design,Bengaluru,Dr Devi Shetty,Seed / Angel Funding,0,No Remarks,2018,Undisclosed
388,27/02/2018,Trilyo,Technology,Ai Platform For Hospitality Industry,Mumbai,"Startup Buddy,Amit Manocha And Others",Seed / Angel Funding,250000,No Remarks,2018,Seed & Early Stage
389,28/02/2018,Gaana,Technology,Online Music Streaming,Gurugram,"Tencent Holdings Ltd, Times Internet",Private Equity,115000000,No Remarks,2018,Late Stage Mega Round
390,28/02/2018,Credy,It,Saas,Bengaluru,"Y Combinator, Khosla Ventures, Vy Capital And Others",Seed / Angel Funding,1400000,No Remarks,2018,Seed & Early Stage
391,28/02/2018,Predible Health,Healthcare,Cancer Radiology,Bengaluru,Unitus Seed Fund,Seed/Angel Funding,0,No Remarks,2018,Undisclosed
392,02/01/2018,Clevertap,Technology,Mobile App Analytics,Mumbai,"Recruit Holdings, Sequoia Capital India, Accel Partners",Angel / Seed Funding,0,No Remarks,2018,Undisclosed
393,04/01/2018,Earlysalary,Finance,Online Lending,Pune,Eight Roads Ventures India,Private,15700000,No Remarks,2018,Growth Capital
394,05/01/2018,Wotu,E-Commerce,Food And Beverages,Bengaluru,"Claris Capital, Mumbai Angels Network",Angel / Seed Funding,0,No Remarks,2018,Undisclosed
395,08/01/2018,Daaki,E-Commerce,Sports Nutrition Supplement Etailer,Bengaluru,Rohan Agila,Angel / Seed Funding,0,No Remarks,2018,Undisclosed
396,09/01/2018,Lendingkart,Finance,Online Lending,Ahmedabad,Nederlandse Financierings-Maatschappij Voor Ontwikkelingslanden N.V.,Debt Funding,4700000,No Remarks,2018,Growth Capital
397,09/01/2018,Kinsane Entertainment Inc,Entertainment,Digital Entertainment For Children,Mumbai,Unknown,Seed/Angel Funding,2500000,No Remarks,2018,Growth Capital
398,10/01/2018,Tapzo,Technology,Personal Assistant,Bengaluru,Runet & Other,Private Equity,1930000,No Remarks,2018,Seed & Early Stage
399,10/01/2018,Appario Retail Pvt Ltd.,E-Commerce,Retail,Delhi,Amazon-Patni Jv,Private Equity,18840000,No Remarks,2018,Growth Capital
400,10/01/2018,Samunnati,Finance,Agricultural Loan,Chennai,"Responsability, Elevar Equity And Accel Partners",Private Equity,23500000,No Remarks,2018,Growth Capital
401,10/01/2018,Sahajanand Medical Technologies,Technology,Medical Devices,Surat,Morgan Stanley Private Equity Asia,Private Equity,36230000,No Remarks,2018,Growth Capital
402,12/01/2018,Kuants,Technology,Algorithmic Trading,Gurgaon,"Pankaj Chopra, Ankush Gupta",Angel / Seed Funding,80000,No Remarks,2018,Seed & Early Stage
403,12/01/2018,Razorpay,Technology,Payment Gateway,Bengaluru,"Tiger Global, Y Combinator",Private Equity,20000000,No Remarks,2018,Growth Capital
404,15/01/2018,Streak,Technology,Algorithmic Trading,Bengaluru,"Indian Fintech Fund, Rainmatter",Angel / Seed Funding,354600,No Remarks,2018,Seed & Early Stage
405,15/01/2018,Pi Ventures,Finance,Venture Capital,Bengaluru,"Sunil Kant Munjal, Hero Electronix\\Xe2\\X80\\X99S Corporate Financing Arm, Electronic Development Fund",Private Equity,25000000,No Remarks,2018,Growth Capital
406,15/01/2018,Newgen Software,Technology,It,New Delhi,"Goldman Sachs, Hedge Fund & Others",Private Equity,20000000,No Remarks,2018,Growth Capital
407,17/01/2018,Rubix,Technology,Education,Pune,Polaris Fund,Private Equity,1000000,No Remarks,2018,Seed & Early Stage
408,18/01/2018,Sharechat,Technology,Social,Bengaluru,"Xiaomi Singapore, Shunwei Capital",Private Equity,18200000,No Remarks,2018,Growth Capital
409,22/01/2018,Paperflite,Technology,It,Chennai,The Chennai Angels,Angel / Seed Funding,400000,No Remarks,2018,Seed & Early Stage
410,22/01/2018,Hungerbox,Consumer Internet,Food And Beverages,Bangalore,Lionrock Capital,Private Equity,2500000,No Remarks,2018,Growth Capital
411,22/01/2018,Skillate,Technology,Artificial Intellegence,Bengaluru,"Incubate Fund India, Anuj Agrawal",Private Equity,0,No Remarks,2018,Undisclosed
412,22/01/2018,Optacredit,Finance,Alternative Lending,Chennai,Dmi Finance,Private Equity,4000000,No Remarks,2018,Growth Capital
413,22/01/2018,Aeon Learning,Technology,Education,Bengaluru,Dr. Ranjan Pai,Private Equity,3200000,No Remarks,2018,Growth Capital
414,23/01/2018,Milkbasket,E-Commerce,Online Grocery,Gurugram,Unilever Ventures,Private Equity,3000000,No Remarks,2018,Growth Capital
415,24/01/2018,Neogrowth Credit,Finance,Digital Lending,Mumbai,"Leapfrog Investments, Aspada Investment, Quona Capital",Private Equity,47000000,No Remarks,2018,Growth Capital
416,24/01/2018,Rao Iit Academy,Education,Coaching Services,Mumbai,Avendus Finance,Structured Debt,8600000,No Remarks,2018,Growth Capital
417,24/01/2018,Aye Finance,Finance,Online Lending,Gurugram,Ifmr Capital,Term Loan,6240000,No Remarks,2018,Growth Capital
418,25/01/2018,Glassic,Ecommerce,Eyewear,Bengaluru,"Chennai Angels, Lead Angels, Letsventure",Angel / Seed Funding,0,No Remarks,2018,Undisclosed
419,25/01/2018,Greyatom,Technology,Education,Mumbai,Pravega Ventures,Private Equity,1000000,No Remarks,2018,Seed & Early Stage
420,26/01/2018,Axio,Healthcare,Hemostatic Dressing Solutions,Bengaluru,Rnt Capital,Private Equity,7400000,No Remarks,2018,Growth Capital
421,29/01/2018,Ekincare,Healthcare,Technology,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, Bvr Mohan Reddy",Private Equity,1500000,No Remarks,2018,Seed & Early Stage
422,29/01/2018,The Wedding Brigade,Consumer Internet,Online Services,Mumbai,Blume Ventures,Private Equity,1000000,No Remarks,2018,Seed & Early Stage
423,30/01/2018,Peesafe,Healthcare,Hygiene,Gurugram,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Private Equity,1000000,No Remarks,2018,Seed & Early Stage
424,30/01/2018,Browserstack,Technology,Browser Testing,Mumbai,Accel Partners,Private Equity,50000000,No Remarks,2018,Late Stage Mega Round
425,30/01/2018,Scapic,Technology,Virtual Reality,Bengaluru,"Axilor Ventures, Newfort Capital",Angel / Seed Funding,500000,No Remarks,2018,Seed & Early Stage
426,30/01/2018,Moneyonmobile,Technology,Mobile Payment Platform,Mumbai,Undisclosed Investors,Private Equity,7600000,No Remarks,2018,Growth Capital
427,30/01/2018,Curefit,Healthcare,Fitness,Bengaluru,"Hdfc Bank, Axis Bank",Debt Funding,10000000,No Remarks,2018,Growth Capital
428,31/01/2018,Inurture,Technology,Education Solutions,Bengaluru,Ventureast,Private Equity,4400000,No Remarks,2018,Growth Capital
429,01/12/2017,Strata Enviro,Technology,Iot Based Air Pollution Controller,Mumbai,Scale Minds,Private Equity,0,No Remarks,2018,Undisclosed
430,05/12/2017,Dunzo,Technology,Daily Task Management Mobile App,Bangalore,Google,Private Equity,12300000,No Remarks,2018,Growth Capital
431,05/12/2017,Tata Housing,Real Estate,Residential Project,Mumbai,Hines,Private Equity,23000000,No Remarks,2018,Growth Capital
432,05/12/2017,Handytrain,Technology,Mobile Learning Management Platform,Goa,Nb Ventures,Private Equity,1000000,No Remarks,2018,Seed & Early Stage
433,05/12/2017,Mobycy,Technology,Bicycle Sharing Platform,Gurgaon,Undisclosed Investors,Seed/Angel Funding,500000,No Remarks,2018,Seed & Early Stage
434,06/12/2017,Greenlight Planet,Technology,Off-Grid Solar Products Platform,Mumbai,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",Private Equity,60000000,No Remarks,2018,Late Stage Mega Round
435,06/12/2017,Fintobox,Technology,Child Learning & Development Platform,Chennai,Lightbox,Private Equity,7000000,No Remarks,2018,Growth Capital
436,07/12/2017,Mswipe,Technology,Mobile Point Of Sale Services Provider,Mumbai,Eduardo Saverin,Private Equity,10000000,No Remarks,2018,Growth Capital
437,07/12/2017,The Label Life,E-Commerce,Home Decor And Online Fashion Portal,Mumbai,Kalpvriksh,Private Equity,3100000,No Remarks,2018,Growth Capital
438,07/12/2017,Cygnus Hospitals,Healthcare,Super Speciality Hospitals,Gurgaon,Somerset Indus Capital Ventures,Seed/Angel Funding,750000,No Remarks,2018,Seed & Early Stage
439,07/12/2017,Eshakti,Ecommerce,"""Women\\'S Fashion Clothing Online Platform""",Chennai,Idg Ventures,Debt Funding,2300000,No Remarks,2018,Growth Capital
440,08/12/2017,Inshorts,Technology,Mobile News Curation App,Noida,Tiger Global,Private Equity,5000000,No Remarks,2018,Growth Capital
441,11/12/2017,Vahdam Tea,E-Commerce,Online Platform Selling Indian Tea Globally,Delhi,"Singapore Angel Network, Mumbai Angel",Private Equity,1500000,No Remarks,2018,Seed & Early Stage
442,11/12/2017,Logic Roots,Technology,Educational Platform To Learn Mathematics,Mumbai,Village Capital,Seed/Angel Funding,50000,No Remarks,2018,Seed & Early Stage
443,11/12/2017,Project Mudra,Technology,Assisting Visually Impaired To Learn Through Braille,Bengaluru,Village Capital,Seed/Angel Funding,50000,No Remarks,2018,Seed & Early Stage
444,11/12/2017,Furlenco,Technology,Furniture Rental Platform,Bengaluru,Aamir Khan,Debt Funding,1200000,No Remarks,2018,Seed & Early Stage
445,12/12/2017,I Can Stay,Technology,Hotel Aggregator Platform,Delhi,Ht Media,Private Equity,1800000,No Remarks,2018,Seed & Early Stage
446,12/12/2017,Fracktal Works,Technology,Platform Based On 3D Printing And Digital Manufacturing,Bengaluru,Hyderabad Angels,Seed/Angel Funding,0,No Remarks,2018,Undisclosed
447,12/12/2017,Simility,Technology,Adaptive Fraud Intelligence Platform,Hyderabad,Accel Partners,Private Equity,17500000,No Remarks,2018,Growth Capital
448,12/12/2017,Shopholix,E-Commerce,Fashion And Lifestyle Coupon Platform,Gurgaon,Munesh Khanna,Seed/Angel Funding,233000,No Remarks,2018,Seed & Early Stage
449,13/12/2017,Mindtickle,Technology,Gamification Platform To Train Sales People,Pune,Canaan Partners,Private Equity,27000000,No Remarks,2018,Growth Capital
450,13/12/2017,Nazara Technologies,Technology,Mobile Games Development Firm,Mumbai,Rakesh Jhunjhunwala,Private Equity,27000000,No Remarks,2018,Growth Capital
451,13/12/2017,Docsapp,Technology,Mobile Application For Doctor Consultation,Bengaluru,Bessemer Venture Partners,Private Equity,7200000,No Remarks,2018,Growth Capital
452,13/12/2017,Capita World,Technology,Artificial Intelligence Platform To Raise Funds,Mumbai,"Mohan Tanksale, Kiran Shetty, Darshak Shah, Mandar Mhatre",Private Equity,0,No Remarks,2018,Undisclosed
453,14/12/2017,Tea Box,E-Commerce,Fresh Indian Tea Selling Platform Across 112 Countries,Bengaluru,Rb Investments,Private Equity,7000000,No Remarks,2018,Growth Capital
454,14/12/2017,Transversal Technologies,Technology,Hyperlocal Video Information Sharing Platform,Bengaluru,Matrix Partners,Private Equity,6000000,No Remarks,2018,Growth Capital
455,14/12/2017,Curofy,Technology,Mobile App For Network Of Doctors,Gurgaon,Roundglass Partners Llc,Seed/Angel Funding,250000,No Remarks,2018,Seed & Early Stage
456,14/12/2017,Homelane,E-Commerce,Online Furniture Marketplace,Bengaluru,"Accel Partners, Sequoia Capital, Rb Investments",Private Equity,10000000,No Remarks,2018,Growth Capital
457,14/12/2017,Wedosky,Technology,Provides Business Insights Using Drone Imaginary,Delhi,Mumbai Angels Network,Private Equity,0,No Remarks,2018,Undisclosed
458,15/12/2017,Purplle,E-Commerce,Beauty Products Online Marketplace,Mumbai,"Mountain Pain Capital, Suncoast Investments",Seed/Angel Funding,537000,No Remarks,2018,Seed & Early Stage
459,15/12/2017,Cash Suvidha,E-Commerce,Online Micro-Lending Platform,Delhi,Unknown,Debt Funding,2700000,No Remarks,2018,Growth Capital
460,18/12/2017,Sky Met Weather,Technology,Weather Forecast Platform,Noida,Insuresillience Investment Fund,Private Equity,0,No Remarks,2018,Undisclosed
461,19/12/2017,Springboard,Technology,Online Courses And Mentoring From Experts,Bengaluru,"Costanoa, Learn Capital, Jyoti Bansal",Private Equity,9500000,No Remarks,2018,Growth Capital
462,19/12/2017,Peel Works,Technology,Saas Based Big Data Analytics Platform,Mumbai,Unilever Ventures,Private Equity,0,No Remarks,2018,Undisclosed
463,19/12/2017,9Stacks,Technology,Online Poker Platform,Delhi,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh",Private Equity,1500000,No Remarks,2018,Seed & Early Stage
464,20/12/2017,Your Quote,Technology,Vernacular And Video Content Platform,Bengaluru,"Axilor Ventures, E-City Ventures Atul Goel",Private Equity,1000000,No Remarks,2018,Seed & Early Stage
465,20/12/2017,Spandana Sphoorty,Finance,Micro Finance Institution Providing Small Ticket Unsecured Loans To Women,Hyderabad,"""Kedaraa Capital, Ontario Teachers\\'""",Private Equity,19500000,No Remarks,2018,Growth Capital
466,21/12/2017,Indus Os,Technology,Regional Operating System For Smartphones,Mumbai,Omidyar Network,Private Equity,4000000,No Remarks,2018,Growth Capital
467,21/12/2017,Easyecom,E-Commerce,Ecommerce Enabler Platform,Bengaluru,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments",Seed/Angel Funding,150000,No Remarks,2018,Seed & Early Stage
468,21/12/2017,Igp.Com,E-Commerce,Online Gifting Platform,Uttar Pradesh,Venture Catalysts,Private Equity,0,No Remarks,2018,Undisclosed
469,26/12/2017,Specsmakers,E-Commerce,Online Spects Platform For Men And Women,Chennai,Eight Roads Ventures India,Private Equity,10000000,No Remarks,2018,Growth Capital
470,27/12/2017,Garage On Road,E-Commerce,Online Vehicle Service Booking Platform,Noida,Gaurav Gupta,Private Equity,0,No Remarks,2018,Undisclosed
471,27/12/2017,Foyr.Com,Technology,Realty Tech Startup Solving Real Life Interior Designing Problems,Hyderabad,Jones Lang Lasalle,Private Equity,3800000,No Remarks,2018,Growth Capital
472,02/11/2017,Prest Loans,Finance,Business & Sme Loans Provider,New Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed Funding,570000,No Remarks,2018,Seed & Early Stage
473,02/11/2017,Aadharapi.Com,Technology,Aadhaar-Based Api Provider,Pune,Cio Angel Network,Seed Funding,0,No Remarks,2018,Undisclosed
474,02/11/2017,Freshboxx,Ecommerce,Online Grocery Store,Bangalore,Jayant Humbarwadi,Seed Funding,0,No Remarks,2018,Undisclosed
475,03/11/2017,Vagupu,Technology,Online Tutorial Marketplace,Bangalore,Undisclosed Investors,Seed Funding,1000000,No Remarks,2018,Seed & Early Stage
476,03/11/2017,Halaplay,Consumer Internet,Online Fantasy Games,Mumbai,"Kae Capital Management, Nazara Technologies",Seed Funding,0,No Remarks,2018,Undisclosed
477,03/11/2017,Kalpnik Technologies,Technology,Vr Based Spiritual Platform,Bangalore,Venture Catalysts,Seed Funding,500000,No Remarks,2018,Seed & Early Stage
478,04/11/2017,Hevo Data,Technology,Real Time Data Analytics & Reporting,Bangalore,Idg Ventures India,Private Equity,1000000,No Remarks,2018,Seed & Early Stage
479,06/11/2017,Smart Karma,Technology,Financial Technology Research Platform,Bangalore,Idg Ventures India,Private Equity,0,No Remarks,2018,Undisclosed
480,06/11/2017,Leverage Edu,Ecommerce,Online Platform For Higher Education Services,New Delhi,"Alok Mittal, Deepak Jain, Ritesh Malik, Jim Schimdktke",Seed Funding,0,No Remarks,2018,Undisclosed
481,07/11/2017,Crayon Data,Technology,Customer Engagement Platform,New Delhi,Infosys Co-Founder Kris Gopalakrishnan,Seed Funding,0,No Remarks,2018,Undisclosed
482,07/11/2017,Doctalk,Technology,Doctor Patient Communication Platform,Mumbai,"Matrix Partners India, Khosla Ventures",Private Equity,5000000,No Remarks,2018,Growth Capital
483,07/11/2017,Coveiot,Technology,Wearable Tech And Internet Of Things Platform,Bangalore,"Titan Co Ltd, Tata Group\\Xe2\\X80\\X99S Watch And Jewellery Retailing Firm",Private Equity,5000000,No Remarks,2018,Growth Capital
484,08/11/2017,Talentedge,Technology,Distance Education Learning Platform,Bangalore,Lumis Partners,Private Equity,7600000,No Remarks,2018,Growth Capital
485,08/11/2017,Fisdom,Finance,Mutual Fund Investment App,Bangalore,Quona Capital Management,Private Equity,3000000,No Remarks,2018,Growth Capital
486,08/11/2017,Farmlink,Ecommerce,Online Platform For Agricultural Products,Mumbai,"Pioneering Ventures, Syngenta Ag",Private Equity,3000000,No Remarks,2018,Growth Capital
487,08/11/2017,Openapp,Technology,Iot Based Tech Startup,Bangalore,"Axilor Ventures, Kumar Vembu",Private Equity,3600000,No Remarks,2018,Growth Capital
488,09/11/2017,Nopaperforms,Technology,Enrolment Management Platform,Delhi,Info Edge,Seed Funding,872000,No Remarks,2018,Seed & Early Stage
489,09/11/2017,Tilite Technologies Pvt. Ltd,Technology,Saas Based Corporate Travel Management Solution,Bangalore,Matrix Partners,Seed Funding,0,No Remarks,2018,Undisclosed
490,09/11/2017,Mobiliz Ar,Technology,Augmented Reality Based Tech Platform,Bangalore,"Idg Ventures, Idfc-Parampara Fund",Private Equity,0,No Remarks,2018,Undisclosed
491,10/11/2017,Qubole,Technology,Big Data Based Analytics Platform,Bangalore,"Singtel, Innov8, Harmony Partners",Private Equity,25000000,No Remarks,2018,Growth Capital
492,10/11/2017,Happily Unmarried,Ecommerce,Online Gifting Platform,Nw Delhi,Wipro Consumer Care,Private Equity,0,No Remarks,2018,Undisclosed
493,13/11/2017,Universal Sportsbiz Pvt. Ltd,Ecommerce,Celebrity Fashion Accessories And Merchandise,Mumbai,Accel Partners,Privateequity,15000000,No Remarks,2018,Growth Capital
494,14/11/2017,Hungry Foal,Ecommerce,Healthy & Nutrition Based Snacks Online Platform,Gurgaon,Gail India Ltd,Seed Funding,0,No Remarks,2018,Undisclosed
495,14/11/2017,Active Ai,Technology,Ai Based Fintech Platform,Bangalore,Vertex Ventures,Private Equity,8250000,No Remarks,2018,Growth Capital
496,15/11/2017,Sumeru,Technology,Banking Software License Platform,Bangalore,Undisclosed Investors,Seed Funding,900000,No Remarks,2018,Seed & Early Stage
497,15/11/2017,Elderaid Wellness,Health Care,Social Healthcare Enterprise,Bangalore,Rugmini Menon,Angel Funding,0,No Remarks,2018,Undisclosed
498,15/11/2017,Omnia Information,Technology,Wifi Analytics Platform,Delhi,Omidyar Network,Private Equity,3000000,No Remarks,2018,Growth Capital
499,15/11/2017,Josh Talks,Inspiration,Storytelling Platform,Gurgaon,"Girish Mathrubootham, Apurva Chamaria, Rohit Chanana",Private Equity,0,No Remarks,2018,Undisclosed
500,15/11/2017,Reniso,Technology,End-To-End Property Management For Landlords Living Away,New Delhi,"Nishit Sharma, Alok Srivastava",Seed Funding,0,No Remarks,2018,Undisclosed
501,17/11/2017,Kanhaiya,Inspiration,Storytelling Platform,Hyderabad,Undisclosed Investors,Seed/Angel Funding,200000,No Remarks,2018,Seed & Early Stage
502,17/11/2017,Perspectico,Technology,Placement Preparation And Career Growth Training Platform,Delhi,"Sscbs Innovation, Incubation Foundation (Siif)",Seed/Angel Funding,0,No Remarks,2018,Undisclosed
503,20/11/2017,Onn Bikes,Technology,Self Riding Bike Rental Program,Mumbai,Z Nation Lab,Seed/Angel Funding,692000,No Remarks,2018,Seed & Early Stage
504,21/11/2017,Rapido,Technology,Bike And Taxi Pooling Online Platform,Hyderabad,"Skycatcher Fund, Aravind Sanka",Seed/Angel Funding,329230,No Remarks,2018,Seed & Early Stage
505,21/11/2017,Heckyl,Technology,Big Data Analytics Platform,Mumbai,"Notion Capital, Idg Ventures",Private Equity,2700000,No Remarks,2018,Growth Capital
506,21/11/2017,Nuvepro,Technology,Managed Cloud Environment Solutions,Mumbai,1Crowd,Seed/Angel Funding,400000,No Remarks,2018,Seed & Early Stage
507,21/11/2017,Redbook,Technology,Ai Based Pharmacy Drugs Insights Platform,Mumbai,"Vida Ventures, Dr. Aniruddha Malpani",Seed/Angel Funding,250000,No Remarks,2018,Seed & Early Stage
508,21/11/2017,Portea,Healthcare,Healthcare Facilities At Doorstep,Bangalore,"Sabre Partners, Memg Cdc",Private Equity,26000000,No Remarks,2018,Growth Capital
509,21/11/2017,Credit Mate,Technology,Vehicle Loan Approval Platform,Mumbai,Paytm,Private Equity,0,No Remarks,2018,Undisclosed
510,21/11/2017,Epiq Capital,Finance,Tech Based Investor Firm,Mumbai,Global Institutional Investors,Private Equity,200000000,No Remarks,2018,Late Stage Mega Round
511,22/11/2017,Mistay,Technology,Online Hotel Reservation Platform,Bangalore,Axilor Ventures,Seed/Angel Funding,0,No Remarks,2018,Undisclosed
512,23/11/2017,Wittyfeed,Storytelling,Viral Content And Storytelling Platform,Indore,Sandeep Aggarwal,Seed/Angel Funding,0,No Remarks,2018,Undisclosed
513,24/11/2017,Idg Ventures,Finance,Venture Capitalist,Bangalore,Uniliver Ventures,Private Equity,10000000,No Remarks,2018,Growth Capital
514,24/11/2017,Tempgo,Technology,Iot And Saas Based Transportation Platform,Goa,Javelin Startupo Victory Fund,Seed/Angel Funding,250000,No Remarks,2018,Seed & Early Stage
515,27/11/2017,Edelweiss,Finance,Diversified Financial,Mumbai,Undisclosed Investors,Private Equity,270000000,No Remarks,2018,Late Stage Mega Round
516,27/11/2017,Era,Technology,Identity Management Platform,Mumbai,Amit Patni,Seed/Angel Funding,39000,No Remarks,2018,Seed & Early Stage
517,27/11/2017,Smaaash,Technology,Virtual Reality Based Gaming Platform,Mumbai,Sixth Sense Ventures,Private Equity,3800000,No Remarks,2018,Growth Capital
518,28/11/2017,Chumbak,Lifestyle,Designer-Led Consumer Products,Bangalore,Gaja Capital,Private Equity,13000000,No Remarks,2018,Growth Capital
519,28/11/2017,Fr8,Technology,Online Truck Aggregator Platform,Chennai,Ifmr Capital,Debt Funding,1500000,No Remarks,2018,Seed & Early Stage
520,28/11/2017,Mobiefit,Healthcare,Health And Fitness Based Mobile App,Goa,"Nb Ventures, Mediassist",Seed/Angel Funding,1350000,No Remarks,2018,Seed & Early Stage
521,28/11/2017,Stanza Living,Technology,Student Accommodation Platform,Delhi,"Matrix Partners, Accel",Private Equity,2000000,No Remarks,2018,Growth Capital
522,03/10/2017,Chqbook,Consumer Internet,Home Loans Aggregation Platform,Gurgaon,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",Seed Funding,0,No Remarks,2018,Undisclosed
523,03/10/2017,Homecapital,Consumer Internet,Home Loan Down Payment Assistance Program,Mumbai,Venture Catalysts,Seed Funding,0,No Remarks,2018,Undisclosed
524,03/10/2017,Ola Cabs,Consumer Internet,App Based Cab Hailing Services,Bangalore,"Tencent, Softbank Group",Private Equity,110000000,No Remarks,2018,Late Stage Mega Round
525,04/10/2017,Elanic,Consumer Internet,P2P Platform For Fashion Sales,Bangalore,Digital Garage,Seed Funding,0,No Remarks,2018,Undisclosed
526,04/10/2017,Collpoll,Consumer Internet,Education Collaboration Platform,Bangalore,Sprout Angels,Seed Funding,306000,No Remarks,2018,Seed & Early Stage
527,04/10/2017,Phonepe,Consumer Internet,Digital Wallet,Bangalore,Flipkart,Private Equity,38700000,No Remarks,2018,Growth Capital
528,05/10/2017,Little Black Book,Consumer Internet,Local Recommendations And Discoveries Platform,New Delhi,"Blume Ventures, Idg Ventures & Indian Angel Network",Private Equity,1000000,No Remarks,2018,Seed & Early Stage
